date,month,time,desc,type,year,event,dejeuner,entretien,deplacement,voyage
2022-11-15,11,19h30,Dîner des dirigeants du Sommet du G20.,Dîner,2022,True,False,False,False,False
2022-11-16,11,Toute la journée,Sommet des dirigeants du G20 à Bali.,Sommet,2022,True,False,False,False,False
2022-11-16,11,Matin,"Entretien bilatéral avec M. Lee Hsien LOONG, Premier ministre de la République de Singapour.",Entretien,2022,True,False,True,False,False
2022-11-16,11,12h00,"Déjeuner de travail avec M. Narendra MODI, Premier ministre de la République d’Inde.",Déjeuner,2022,True,True,False,False,False
2022-11-16,11,Après-midi,"Entretien bilatéral avec M. Anthony ALBANESE, Premier ministre d’Australie.",Entretien,2022,True,False,True,False,False
2022-11-17,11,Toute la journée,Déplacement au Royaume de Thaïlande.,Voyage officiel,2022,True,False,False,False,True
2022-11-18,11,Toute la journée,Déplacement au Royaume de Thaïlande.,Voyage officiel,2022,True,False,False,False,True
2022-11-18,11,11h05,"Entretien puis déjeuner de travail avec M. Prayut CHAN-O-CHA, Premier ministre du Royaume de Thaïlande.",Entretien,2022,True,False,True,False,False
2022-11-19,11,Toute la journée,Sommet de la Francophonie à Djerba.,Sommet,2022,True,False,False,False,False
2022-11-21,11,13h00,"Déjeuner avec Mme Elisabeth BORNE, Première ministre.",Déjeuner,2022,True,True,False,False,False
2022-11-21,11,14h45,"Entretien téléphonique avec M. Volodymyr ZELENSKY, Président de la République d'Ukraine.",Entretien,2022,True,False,True,False,False
2022-11-21,11,16h00,"Entretien avec Mme Maia SANDU, Présidente de la République de Moldavie puis déplacement à la conférence ministérielle de la Plateforme de soutien à la Moldavie.",Entretien,2022,True,False,True,False,False
2022-11-21,11,18h30,"Entretien avec Mme Annalena BAERBOCK, ministre fédérale allemande des Affaires étrangères.",Entretien,2022,True,False,True,False,False
2022-11-21,11,20h00,Dîner de travail avec les représentants des industriels européens de l’European Round Table for Industry.,Dîner,2022,True,False,False,False,False
2022-11-22,11,13h05,"Déjeuner de travail avec M. Shavkat MIRZIYOÏEV, Président de la République d’Ouzbékistan.",Déjeuner,2022,True,True,False,False,False
2022-11-22,11,Après-midi,Visite de l’exposition « Splendeurs des oasis d’Ouzbékistan » au Musée du Louvre et « Sur les routes de Samarcande. Merveilles de soie et d’or » à l'Institut du Monde Arabe en compagnie du couple présidentiel d’Ouzbékistan.,Inauguration,2022,True,False,False,False,False
2022-11-22,11,18h00,"Entretien avec M. Gérard LARCHER, Président du Sénat.",Entretien,2022,True,False,True,False,False
2022-11-22,11,19h15,"Entretien avec M. Didier MIGAUD, Président de la Haute Autorité pour la transparence de la vie publique (HATVP).",Entretien,2022,True,False,True,False,False
2022-11-23,11,10h00,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-11-23,11,Après-midi,Visite du salon des maires et des collectivités locales.,Déplacement,2022,True,False,False,True,False
2022-11-23,11,20h00,Réception des maires de France au Palais de l’Elysée.,Réception,2022,True,False,False,False,False
2022-11-24,11,11h30,Remise de décoration individuelle.,Cérémonie officielle,2022,True,False,False,False,False
2022-11-24,11,13h15,"Entretien M. Micheál MARTIN, Premier ministre de la République d’Irlande.",Entretien,2022,True,False,True,False,False
2022-11-24,11,16h00,"Entretien avec Mme Yaël BRAUN-PIVET, Présidente de l’Assemblée nationale.",Entretien,2022,True,False,True,False,False
2022-11-25,11,Toute la journée,Déplacement dans le cadre de la journée internationale de lutte contre les violences faites aux femmes en Côte-d’Or.,Déplacement,2022,True,False,False,True,False
2022-11-26,11,11h15,"Entretien avec Emomali RAHMON, Président de la République du Tadjikistan.",Entretien,2022,True,False,True,False,False
2022-11-27,11,12h00,"Entretien téléphonique avec le Premier ministre de la République d’Irak, M. Mohammed Chia AL-SOUDANI.",Entretien,2022,True,False,True,False,False
2022-11-29,11,08h00,"Entretien avec M. TOKAIEV, Président de la République du Kazakhstan",Entretien,2022,True,False,True,False,False
2022-11-29,11,10h00,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-11-30,11,Toute la journée,Visite d'État aux Etats-Unis d'Amérique.,Voyage officiel,2022,True,False,False,False,True
